director,genre,level,rating,runtime,studio,time,title,url,writer
David Anspaugh,DramaKids & Family,PG (Rated PG for mild language.),78%,114 minutes,Sony Pictures Home Entertainment,"Aug 28, 2001",Rudy,https://www.rottentomatoes.com/m/rudy,
Jonathan Demme,Drama,PG-13,79%,125 minutes,Sony Pictures Home Entertainment,"Dec 22, 1993",Philadelphia,https://www.rottentomatoes.com/m/philadelphia,Ron Nyswaner
Brian DePalma,Drama,R,80%,145 minutes,MCA Universal Home Video,"Jan 1, 1993",Carlito's Way,https://www.rottentomatoes.com/m/carlitos_way,David Koepp
Martin Scorsese,DramaRomance,PG (for thematic elements and some mild language.),83%,138 minutes,Columbia Pictures,"Oct 1, 1993",The Age of Innocence,https://www.rottentomatoes.com/m/age_of_innocence,Martin ScorseseJay Cocks
Sally Potter,DramaScience Fiction & FantasyRomance,PG-13 (for some sensuality),84%,93 minutes,Sony Pictures Classics,"Jun 9, 1993",Orlando,https://www.rottentomatoes.com/m/orlando,Sally Potter
Joe Gazzam,Action & Adventure,R,67%,113 minutes,Sony Pictures Home Entertainment,"Nov 11, 1997",Cliffhanger,https://www.rottentomatoes.com/m/1044214_cliffhanger,
Lasse Hallstrom,Drama,PG-13,89%,117 minutes,Paramount Pictures,"Dec 25, 1993",What's Eating Gilbert Grape,https://www.rottentomatoes.com/m/whats_eating_gilbert_grape,Peter Hedges
Richard Linklater,Comedy,"R (for pervasive, continuous teen drug and alcohol use and very strong language)",91%,103 minutes,Gramercy Pictures,"Sep 24, 1993",Dazed and Confused,https://www.rottentomatoes.com/m/dazed_and_confused,Richard Linklater
Tony Scott,Action & AdventureDramaMystery & Suspense,R,92%,116 minutes,Warner Bros.,"Sep 10, 1993",True Romance,https://www.rottentomatoes.com/m/true_romance,Quentin Tarantino
Jane Campion,Art House & InternationalDramaRomance,R,92%,121 minutes,Miramax Films,"Nov 19, 1993",The Piano,https://www.rottentomatoes.com/m/piano,Jane Campion
Jim Sheridan,Drama,R (for language and politically-generated violence),94%,133 minutes,Universal Pictures,"Dec 29, 1993",In the Name of the Father,https://www.rottentomatoes.com/m/in_the_name_of_the_father,Terry GeorgeJim Sheridan
Sydney Pollack,DramaMystery & Suspense,R,75%,154 minutes,Paramount Pictures,"Jun 1, 1993",The Firm,https://www.rottentomatoes.com/m/1044522_firm,David RabeRobert TowneDavid RayfielDaniel Pyne
James Ivory,DramaRomance,PG,95%,134 minutes,Sony Pictures Home Entertainment,"Nov 5, 1993",The Remains of the Day,https://www.rottentomatoes.com/m/remains_of_the_day,Ruth Prawer Jhabvala
Robert Altman,ComedyDrama,R,95%,184 minutes,Fine Line Features,"Oct 3, 1993",Short Cuts,https://www.rottentomatoes.com/m/short_cuts,Frank BarhydtRobert Altman
Ivan Reitman,ComedyRomance,PG-13 (for momentary language and a situation),95%,110 minutes,Warner Bros.,"May 7, 1993",Dave,https://www.rottentomatoes.com/m/dave,Gary Ross
Brian Gibson,DramaMusical & Performing Arts,R,96%,118 minutes,Touchstone Pictures,"Jun 9, 1993",What's Love Got To Do With It?,https://www.rottentomatoes.com/m/whats_love_got_to_do_with_it,Kate Lanier
Krzysztof Kieslowski,Art House & InternationalDramaMystery & SuspenseRomance,R,98%,98 minutes,Miramax Films,"Dec 5, 1993",Three Colors: Blue (Trois Couleurs: Bleu),https://www.rottentomatoes.com/m/three_colors_blue,Krzysztof PiesiewiczKrzysztof KieslowskiAgnieszka HollandSlawomir Idziak
Wolfgang Petersen,Action & AdventureMystery & Suspense,R,96%,127 minutes,Sony Pictures Home Entertainment,"Jul 9, 1993",In the Line of Fire,https://www.rottentomatoes.com/m/in_the_line_of_fire,Jeff Maguire
Agnieszka Holland,DramaKids & Family,G,88%,103 minutes,WARNER BROTHERS PICTURES,"Mar 18, 1993",The Secret Garden,https://www.rottentomatoes.com/m/1045518_secret_garden,Susan MartinMenno MeyjesCaroline Thompson
Mike Leigh,Drama,R,88%,126 minutes,New Line Cinema,"Oct 15, 1993",Naked,https://www.rottentomatoes.com/m/1048185_naked,Mike Leigh
Steven Spielberg,Action & AdventureMystery & SuspenseScience Fiction & Fantasy,PG-13 (for intense science fiction terror),91%,126 minutes,Universal City Studios,"Jun 11, 1993",Jurassic Park,https://www.rottentomatoes.com/m/jurassic_park,Michael CrichtonDavid KoeppMalia Scotch Marmo
Kenneth Branagh,ComedyDramaRomance,PG-13 (for momentary sensuality.),90%,110 minutes,Screenvision,"May 7, 1993",Much Ado About Nothing,https://www.rottentomatoes.com/m/1045992_much_ado_about_nothing,Kenneth Branagh
Harold Ramis,ComedyScience Fiction & FantasySpecial InterestRomance,PG (for some thematic elements),96%,102 minutes,Columbia Pictures,"Feb 12, 1993",Groundhog Day,https://www.rottentomatoes.com/m/groundhog_day,Danny RubinHarold Ramis
Henry SelickTim Burton,AnimationKids & FamilyScience Fiction & Fantasy,PG (for some scary images.),95%,76 minutes,Touchstone Pictures,"Oct 24, 1993",The Nightmare Before Christmas,https://www.rottentomatoes.com/m/nightmare_before_christmas,Tim BurtonCaroline ThompsonMichael McDowell
Steven Zaillian,Drama,PG,100%,109 minutes,Paramount Home Video,"Aug 14, 1993",Searching for Bobby Fischer,https://www.rottentomatoes.com/m/searching_for_bobby_fischer,Steven Zaillian
Steven Spielberg,Drama,R,97%,196 minutes,Universal Pictures,"Dec 15, 1993",Schindler's List,https://www.rottentomatoes.com/m/schindlers_list,Steven Zaillian
Fran Rubel Kuzui,Action & AdventureComedyHorror,PG-13,35%,98 minutes,20th Century Fox,"Jul 31, 1992",Buffy the Vampire Slayer,https://www.rottentomatoes.com/m/buffy_the_vampire_slayer,Joss Whedon
David Fincher,HorrorScience Fiction & Fantasy,R (violence),42%,114 minutes,Twentieth Century Fox Home Entertainment,"Jan 1, 1992",Alien3,https://www.rottentomatoes.com/m/alien3,David GlierDavid GilerWalter HillLarry FergusonDavid TwohyDan O'BannonEric RedWilliam GibsonGreg PrussRex Pickett
Robert Zemeckis,ComedyScience Fiction & Fantasy,PG-13,52%,103 minutes,Universal Pictures,"Jul 31, 1992",Death Becomes Her,https://www.rottentomatoes.com/m/death_becomes_her,Martin DonovanDavid Koepp
Paul Verhoeven,DramaHorrorMystery & SuspenseRomance,"R (adult situations/language, nudity, sex)",53%,127 minutes,Artisan Entertainment,"Mar 20, 1992",Basic Instinct,https://www.rottentomatoes.com/m/basic_instinct,Joe Eszterhas
Barbet Schroeder,DramaMystery & Suspense,R (N/A),55%,103 minutes,Columbia Pictures,"Aug 14, 1992",Single White Female,https://www.rottentomatoes.com/m/single_white_female,Don Roos
Richard Donner,Action & Adventure,"R (adult situations/language, violence)",59%,118 minutes,Warner Home Video,"May 15, 1992",Lethal Weapon 3,https://www.rottentomatoes.com/m/lethal_weapon_3,Jeffrey BoamCarrie FisherRobert Mark Kamen
Richard Attenborough,Drama,PG-13,60%,144 minutes,Columbia TriStar,"Dec 18, 1992",Chaplin,https://www.rottentomatoes.com/m/chaplin,Bryan ForbesWilliam GoldmanWilliam Boyd
Curtis Hanson,DramaMystery & Suspense,R,63%,110 minutes,Disney,"Jan 10, 1992",The Hand that Rocks the Cradle,https://www.rottentomatoes.com/m/the_hand_that_rocks_the_cradle,Amanda Silver
Francis Ford Coppola,HorrorScience Fiction & FantasyRomance,R (for sexuality and horror violence),72%,130 minutes,Columbia Pictures,"Oct 7, 1997",Bram Stoker's Dracula,https://www.rottentomatoes.com/m/bram_stokers_dracula,
Andrew Davis,Action & AdventureDramaMystery & Suspense,PG-13 (for a murder and other action sequences in an adventure setting),96%,130 minutes,Warner Bros. Pictures,"Aug 6, 1993",The Fugitive,https://www.rottentomatoes.com/m/1046129_fugitive,David TwohyJeb StuartWalter HillDavid GilerRobert Mark KamenDavid Newman
Bernard Rose,Horror,R,73%,99 minutes,Sony Pictures Home Entertainment,"Oct 16, 1992",Candyman,https://www.rottentomatoes.com/m/candyman,Bernard Rose
Brian Henson,Kids & FamilyScience Fiction & Fantasy,G,74%,120 minutes,Walt Disney Home Entertainment,"Jan 1, 1992",The Muppet Christmas Carol,https://www.rottentomatoes.com/m/muppet_christmas_carol,Jerry Juhl
Abel Ferrara,DramaMystery & Suspense,R,76%,90 minutes,Aries Films,"Nov 20, 1992",Bad Lieutenant,https://www.rottentomatoes.com/m/bad_lieutenant,Victor ArgoPaul CalderonAbel FerraraZoë Lund
Ron Shelton,ComedyDrama,"R (adult situations/language, nudity)",76%,115 minutes,Twentieth Century Fox Home Entertainment,"Mar 27, 1992",White Men Can't Jump,https://www.rottentomatoes.com/m/white_men_cant_jump,Ron Shelton
Phil Alden Robinson,Action & AdventureComedyDramaMystery & Suspense,PG-13,78%,126 minutes,Universal Pictures,"Sep 9, 1992",Sneakers,https://www.rottentomatoes.com/m/sneakers,Lawrence LaskerWalter F. ParkesPhil Alden Robinson
Penny Marshall,ComedyDramaSports & Fitness,PG (adult situations/language),78%,128 minutes,Columbia Pictures,"Jul 1, 1992",A League of Their Own,https://www.rottentomatoes.com/m/league_of_their_own,Lowell GanzBabaloo MandelKim Wilson
Robert Redford,Drama,PG,80%,123 minutes,Sony Pictures Home Entertainment,"Oct 9, 1992",A River Runs Through It,https://www.rottentomatoes.com/m/river_runs_through_it,Richard FriedenbergWilliam Hjortsberg
Tim Burton,Action & AdventureScience Fiction & Fantasy,PG-13 (violence),80%,126 minutes,Warner Bros. Pictures,"Jun 19, 1992",Batman Returns,https://www.rottentomatoes.com/m/batman_returns,Daniel WatersSam HammWesley Strick
Rob Reiner,DramaMystery & Suspense,R,82%,138 minutes,Columbia Pictures,"Dec 11, 1992",A Few Good Men,https://www.rottentomatoes.com/m/few_good_men,Aaron Sorkin
Penelope Spheeris,Comedy,PG-13,84%,95 minutes,Paramount Pictures,"Feb 14, 1992",Wayne's World,https://www.rottentomatoes.com/m/waynes_world,Mike MyersBonnie Turner
Jonathan Lynn,Comedy,R (for language),85%,120 minutes,Twentieth Century Fox Home Entertainment,"Mar 13, 1992",My Cousin Vinny,https://www.rottentomatoes.com/m/my_cousin_vinny,Dale Launer
David Lynch,DramaMystery & SuspenseSpecial Interest,R,63%,135 minutes,New Line Cinema,"Aug 28, 1992",Twin Peaks - Fire Walk with Me,https://www.rottentomatoes.com/m/twin_peaks_fire_walk_with_me,David LynchRobert Engels
Jean-Pierre JeunetMarc Caro,Art House & InternationalComedyDramaScience Fiction & Fantasy,R (for violence),89%,97 minutes,Lionsgate,"Apr 3, 1992",Delicatessen,https://www.rottentomatoes.com/m/delicatessen,Jean-Pierre JeunetGilles AdrienMarc Caro
Quentin Tarantino,Action & AdventureDramaMystery & Suspense,"R (violence, language)",91%,98 minutes,Miramax Films,"Jan 21, 1992",Reservoir Dogs,https://www.rottentomatoes.com/m/reservoir_dogs,Quentin Tarantino
James Ivory,Art House & InternationalDramaRomance,PG,94%,143 minutes,Sony Pictures Home Entertainment,"Mar 13, 1992",Howards End,https://www.rottentomatoes.com/m/howards_end,Ruth Prawer Jhabvala
Neil Jordan,DramaMystery & SuspenseRomance,R,94%,112 minutes,Live Home Video,"Nov 25, 1992",The Crying Game,https://www.rottentomatoes.com/m/crying_game,Neil Jordan
Cameron Crowe,ComedyDramaRomance,PG-13,79%,99 minutes,Warner Home Video,"Sep 18, 1992",Singles,https://www.rottentomatoes.com/m/1040379_singles,Cameron Crowe
James Foley,Drama,R (for language),95%,100 minutes,Artisan Home Entertainment,"Sep 29, 1992",Glengarry Glen Ross,https://www.rottentomatoes.com/m/glengarry_glen_ross,David Mamet
Carl Franklin,Action & AdventureDramaMystery & Suspense,R,96%,105 minutes,Sony Pictures Home Entertainment,"Jun 1, 1992",One False Move,https://www.rottentomatoes.com/m/one_false_move,Billy Bob ThorntonTom EppersonCarl Franklin
Robert Altman,ComedyDrama,"R (for language, and for some sensuality)",98%,124 minutes,Fine Line Features,"Apr 10, 1992",The Player,https://www.rottentomatoes.com/m/player,Michael Tolkin
Keith Gordon,Action & AdventureDrama,R,88%,107 minutes,Sony Pictures Home Entertainment,"Apr 24, 1992",A Midnight Clear,https://www.rottentomatoes.com/m/1039575_1039575_midnight_clear,Keith Gordon
Martin Brest,Drama,R,88%,157 minutes,Universal Pictures,"Dec 23, 1992",Scent of a Woman,https://www.rottentomatoes.com/m/1042193_scent_of_a_woman,Bo Goldman
Spike Lee,Drama,PG-13,88%,201 minutes,Warner Bros.,"Nov 18, 1992",Malcolm X,https://www.rottentomatoes.com/m/1042135_malcolm_x,Spike LeeArnold Perl
Woody Allen,ComedyDramaRomance,R,93%,108 minutes,Sony Pictures Home Entertainment,"Oct 18, 1992",Husbands and Wives,https://www.rottentomatoes.com/m/1040798_husbands_and_wives,Woody Allen
Baz Luhrmann,ComedyDramaRomance,PG,95%,94 minutes,Miramax,"Feb 1, 1992",Strictly Ballroom,https://www.rottentomatoes.com/m/1045568_strictly_ballroom,Craig PearceBaz LuhrmannAndrew Bovell
John MuskerRon Clements,Action & AdventureAnimationComedyKids & FamilyMusical & Performing Arts,G,94%,90 minutes,Buena Vista Distribution Compa,"Nov 11, 1992",Aladdin,https://www.rottentomatoes.com/m/1042582_aladdin,Ron ClementsJohn MuskerTed ElliottTerry Rossio
Clint Eastwood,DramaWestern,"R (for language, and violence, and for a scene of sexuality)",96%,131 minutes,Warner Bros. Pictures,"Aug 3, 1992",Unforgiven,https://www.rottentomatoes.com/m/1041911_unforgiven,David Webb Peoples
Brent HamerBent Hamer,Art House & InternationalComedyDrama,R (for language and sexual content),76%,94 minutes,IFC Films,"Aug 18, 2006",Factotum,https://www.rottentomatoes.com/m/factotum,Bent HamerJim Stark
Phillip Noyce,DramaMusical & Performing ArtsMystery & Suspense,"PG-13 (for thematic material involving torture and abuse, violence and brief language)",75%,102 minutes,Focus Features,"Oct 27, 2006",Catch a Fire,https://www.rottentomatoes.com/m/catch_a_fire,Shawn Slovo
David LeafJohn Scheinfeld,DocumentaryMusical & Performing Arts,"PG-13 (for some strong language, violent images and drug references)",77%,96 minutes,Lionsgate Films,"Sep 29, 2006",The U.S. vs. John Lennon,https://www.rottentomatoes.com/m/us_vs_john_lennon,David LeafJohn Scheinfeld
Mikael Håfström,HorrorMystery & Suspense,"PG-13 (for thematic material including disturbing sequences of violence and terror, frightening images and language)",79%,94 minutes,MGM/Dimension,"Jun 22, 2007",1408,https://www.rottentomatoes.com/m/1408,Stephen KingLarry KaraszewskiMatt GreenbergScott Alexander
Nanette Burstein,DocumentarySpecial Interest,"PG-13 (for some strong language, sexual material, some drinking and brief smoking-all involving teens)",70%,101 minutes,Paramount Vantage,"Jan 19, 2008",American Teen,https://www.rottentomatoes.com/m/american_teen,Nanette Burstein
Louis Leterrier,Action & AdventureScience Fiction & Fantasy,"PG-13 (for sequences of intense action violence, some frightening sci-fi images and brief suggestive content)",67%,112 minutes,Universal Pictures,"Jun 12, 2008",The Incredible Hulk,https://www.rottentomatoes.com/m/the_incredible_hulk,Zak Penn
Michael Winterbottom,Drama,"R (for language, some sexuality and drug use)",79%,93 minutes,Entertainment One,"Mar 27, 2009",A Summer In Genoa,https://www.rottentomatoes.com/m/a_summer_in_genoa,Michael WinterbottomLaurence Coriat
Susanna White,ComedyKids & FamilyScience Fiction & Fantasy,"PG (for rude humor, some language and mild thematic elements)",76%,109 minutes,Universal Studios,"Aug 20, 2010",Nanny McPhee Returns,https://www.rottentomatoes.com/m/nanny_mcphee_returns,Emma Thompson
Pedro Almodóvar,Art House & InternationalDramaMystery & Suspense,"R (for disturbing violent content including sexual assault, strong sexuality, graphic nudity, drug use and language)",80%,117 minutes,Sony Pictures Classics,"Oct 14, 2011",The Skin I Live In,https://www.rottentomatoes.com/m/the_skin_i_live_in,Pedro AlmodóvarAgustín Almodóvar
Steve McQueen (III),Drama,NC17 (for some explicit sexual content),79%,101 minutes,Fox Searchlight,"Dec 2, 2011",Shame,https://www.rottentomatoes.com/m/shame_2011,Steve McQueen (III)Abi Morgan
Robert Zemeckis,DramaMystery & Suspense,"R (for drug and alcohol abuse, language, sexuality/nudity and an intense action sequence)",78%,138 minutes,Paramount Pictures,"Nov 2, 2012",Flight,https://www.rottentomatoes.com/m/flight_2012,John Gatins
Frederick Wiseman,DocumentarySpecial Interest,NR,85%,134 minutes,Zipporah Films,"Jul 28, 2014",Crazy Horse,https://www.rottentomatoes.com/m/crazy_horse_2010,
Philippe FalardeauShawn Linden,DramaMystery & Suspense,"PG-13 (for thematic elements, some violence, brief strong language and drug use)",87%,110 minutes,Warner Bros. Pictures,"Oct 3, 2014",The Good Lie,https://www.rottentomatoes.com/m/the_good_lie_2013,Margaret NagleShawn Linden
David Gordon Green,Drama,"R (for violence, disturbing material, language and some strong sexual content)",85%,116 minutes,Roadside Attractions,"Apr 11, 2014",Joe,https://www.rottentomatoes.com/m/joe_2013,Gary Hawkins 
Alex Gibney,Documentary,PG-13 (for some strong language),91%,116 minutes,Jigsaw Productions,"Jul 8, 2016",Zero Days,https://www.rottentomatoes.com/m/zero_days,Alex Gibney
Alejandro González Iñárritu,Action & AdventureDrama,"R (for strong frontier combat and violence including gory images, a sexual assault, language and brief nudity)",78%,156 minutes,20th Century Fox,"Dec 25, 2015",The Revenant,https://www.rottentomatoes.com/m/the_revenant_2015,Mark L. SmithAlejandro González Iñárritu
Martin Scorsese,Drama,R (for some disturbing violent content.),83%,161 minutes,Paramount Pictures,"Jan 13, 2017",Silence,https://www.rottentomatoes.com/m/silence_2017,Jay CocksMartin Scorsese
Mohamed Diab,Art House & InternationalDrama,NR,93%,97 minutes,Kino Lorber,"Aug 25, 2017",Clash (Eshtebak),https://www.rottentomatoes.com/m/clash_2017,Mohamed DiabKhaled Diab
David RaneNeasa Ní Chianáin,Documentary,"PG-13 (for brief strong language, and smoking)",93%,100 minutes,Magnolia Pictures,,School Life,https://www.rottentomatoes.com/m/school_life,
Alice Lowe,Art House & InternationalComedyDramaHorrorScience Fiction & Fantasy,NR,92%,88 minutes,Western Edge Pictures,"Mar 24, 2017",Prevenge,https://www.rottentomatoes.com/m/prevenge,Alice Lowe
Aisling Walsh,Art House & InternationalDramaRomance,PG-13 (for some thematic content and brief sexuality),89%,115 minutes,Sony Pictures Classics,"Jun 16, 2017",Maudie,https://www.rottentomatoes.com/m/maudie,Sherry White
Martin Zandvliet,Art House & InternationalDrama,"R (for violence, some grisly images, and language)",91%,110 minutes,Sony Pictures Classics,"Feb 10, 2017",Land of Mine (Under Sandet),https://www.rottentomatoes.com/m/land_of_mine,Martin Zandvliet
Alejandro Jodorowsky,Art House & InternationalDramaScience Fiction & Fantasy,NR,93%,128 minutes,,"Jul 14, 2017",Endless Poetry (Poesía Sin Fin),https://www.rottentomatoes.com/m/endless_poetry,Alejandro Jodorowsky
Kathryn Bigelow,DramaMystery & Suspense,R (for strong violence and pervasive language),83%,142 minutes,Annapurna Pictures,"Aug 4, 2017",Detroit,https://www.rottentomatoes.com/m/detroit_2017,Mark Boal
Bong Joon Ho,Action & AdventureDramaScience Fiction & Fantasy,NR,86%,118 minutes,Netflix,"Jun 28, 2017",Okja,https://www.rottentomatoes.com/m/okja,Bong Joon HoJon Ronson
Ai Weiwei,Documentary,PG-13 (for thematic material including a disturbing image),91%,140 minutes,Amazon Studios and Participant Media,"Feb 16, 2017",Human Flow,https://www.rottentomatoes.com/m/human_flow,
Jenny Gage,Documentary,NR,94%,79 minutes,Factory 25,"Mar 31, 2017",All This Panic,https://www.rottentomatoes.com/m/all_this_panic,
Bryan Fogel,Documentary,NR,94%,110 minutes,Netflix,"Aug 4, 2017",Icarus,https://www.rottentomatoes.com/m/icarus_2017,Bryan FogelMark MonroeTimothy Rode
Steve James (II),Documentary,NR,93%,88 minutes,Kartemquin Films,,Abacus: Small Enough to Jail,https://www.rottentomatoes.com/m/abacus_small_enough_to_jail,
Matt Tyrnauer,Documentary,NR,94%,92 minutes,Sundance Selects,"Sep 12, 2017",Citizen Jane: Battle for the City,https://www.rottentomatoes.com/m/citizen_jane_battle_for_the_city,
Justin Chon,Drama,NR,94%,94 minutes,Samuel Goldwyn Films,"Aug 18, 2017",Gook,https://www.rottentomatoes.com/m/gook,Justin Chon
Aki Kaurismäki,Art House & InternationalComedyDrama,NR,92%,98 minutes,Janus Films,"Dec 1, 2017",The Other Side of Hope (Toivon tuolla puolen),https://www.rottentomatoes.com/m/the_other_side_of_hope,Aki Kaurismäki
James Gray,Action & AdventureDrama,"PG-13 (for violence, disturbing images, brief strong language and some nudity)",86%,140 minutes,Amazon Studios/Bleecker Street Media,"Apr 21, 2017",The Lost City of Z,https://www.rottentomatoes.com/m/the_lost_city_of_z,James Gray
François Ozon,Art House & InternationalDrama,PG-13 (for thematic elements including brief war violence),91%,114 minutes,Music Box Films,"Mar 15, 2017",Frantz,https://www.rottentomatoes.com/m/frantz,François OzonPhilippe Piazzo
Lone Scherfig,ComedyDramaRomance,R (for some language and a scene of sexuality),90%,110 minutes,EuropaCorp / STXfilms,"Apr 7, 2017",Their Finest,https://www.rottentomatoes.com/m/their_finest_2017,Gaby Chiappe
Malcolm D. Lee,ComedyDrama,"R (for crude and sexual content throughout, pervasive language, brief graphic nudity, and drug material)",90%,122 minutes,Universal Pictures,"Jul 21, 2017",Girls Trip,https://www.rottentomatoes.com/m/girls_trip,Kenya BarrisTracy Oliver
Joe Wright,Drama,PG-13 (for some thematic material),84%,125 minutes,Focus Features,"Dec 22, 2017",Darkest Hour,https://www.rottentomatoes.com/m/darkest_hour_2017,Anthony McCarten
William Oldroyd,Art House & InternationalDrama,"R (for some disturbing violence, strong sexuality/nudity, and language.)",89%,89 minutes,Roadside Attractions,"Jul 14, 2017",Lady Macbeth,https://www.rottentomatoes.com/m/lady_macbeth,Alice Birch
J.A. Bayona,ComedyDramaKids & FamilyScience Fiction & Fantasy,PG-13 (for thematic content and some scary images),86%,108 minutes,Focus Features,"Jan 6, 2017",A Monster Calls,https://www.rottentomatoes.com/m/a_monster_calls,Patrick Ness
Doug Liman,Action & AdventureDramaMystery & Suspense,R (for language throughout and some sexuality/nudity),86%,115 minutes,Universal Pictures,"Sep 29, 2017",American Made,https://www.rottentomatoes.com/m/american_made_2017,Gary Spinelli
Trey Edward Shults,DramaHorror,"R (for violence, disturbing images, and language)",87%,91 minutes,A24,"Jun 9, 2017",It Comes At Night,https://www.rottentomatoes.com/m/it_comes_at_night,Trey Edward Shults
Taylor Sheridan,DramaMystery & Suspense,"R (strong violence, a rape, disturbing images, and language)",87%,111 minutes,The Weinstein Company,"Aug 4, 2017",Wind River,https://www.rottentomatoes.com/m/wind_river_2017,Taylor Sheridan
Alain Gomis,Art House & InternationalDrama,NR,96%,123 minutes,Strand Releasing,"Oct 27, 2017",Félicité,https://www.rottentomatoes.com/m/felicite_2017,Alain GomisDelphine ZinggOlivier Loustau
Emil Ben-Shimon,Art House & InternationalComedyDrama,NR,96%,96 minutes,Menemsha Films,"Mar 3, 2017",The Women's Balcony (Ismach Hatani),https://www.rottentomatoes.com/m/the_womens_balcony,Shlomit Nehama
Chris Smith,Documentary,NR,96%,94 minutes,Netflix,"Nov 17, 2017","Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",https://www.rottentomatoes.com/m/jim_and_andy_the_great_beyond_featuring_a_very_special_contractually_obligated_mention_of_tony_clifton,
Kasper Collin,Documentary,NR,96%,89 minutes,Kasper Collin Produktion,"Mar 24, 2017",I Called Him Morgan,https://www.rottentomatoes.com/m/i_called_him_morgan,Kasper Collin
David Gordon Green,Drama,"R (for language throughout, some graphic injury images, and brief sexuality/nudity)",90%,119 minutes,Lionsgate and Roadside Attractions,"Sep 22, 2017",Stronger,https://www.rottentomatoes.com/m/stronger_2017,John Pollono
Joachim Trier,Art House & InternationalMystery & Suspense,NR,92%,116 minutes,The Orchard,"Nov 10, 2017",Thelma,https://www.rottentomatoes.com/m/thelma_2017,Joachim TrierEskil Vogt
Juho Kuosmanen,Art House & InternationalDramaRomanceSports & Fitness,NR,96%,93 minutes,MUBI,"Apr 21, 2017",The Happiest Day in the Life of Olli Mäki (Hymyilevä mies),https://www.rottentomatoes.com/m/the_happiest_day_in_the_life_of_olli_maki_2017,Mikko MyllylahtiJuho Kuosmanen
Terence Davies,Drama,"PG-13 (for thematic elements, disturbing images and brief suggestive material)",91%,126 minutes,Hurricane Films,"Apr 14, 2017",A Quiet Passion,https://www.rottentomatoes.com/m/a_quiet_passion,Terence Davies
Errol Morris,Documentary,R (for some graphic nude images and brief language),96%,76 minutes,NEON,,The B-Side: Elsa Dorfman's Portrait Photography,https://www.rottentomatoes.com/m/the_b_side_elsa_dorfmans_portrait_photography,
Mike Mills,ComedyDrama,"R (for sexual material, language, some nudity and brief drug use)",89%,118 minutes,A24 Films,"Jan 20, 2017",20th Century Women,https://www.rottentomatoes.com/m/20th_century_women,Mike Mills
Alexandra Dean,Documentary,NR,95%,90 minutes,Reframed Pictures,"Nov 24, 2017",Bombshell: The Hedy Lamarr Story,https://www.rottentomatoes.com/m/bombshell_the_hedy_lamarr_story,Alexandra Dean
Julia Ducournau,Horror,"R (for aberrant behavior, bloody and grisly images, strong sexuality, nudity, language and drug use/partying)",91%,98 minutes,Petit Film,"Mar 10, 2017",Raw,https://www.rottentomatoes.com/m/raw_2017,Julia Ducournau
Jonathan DaytonValerie Faris,ComedyDramaSports & Fitness,PG-13 (for some sexual content and partial nudity),86%,121 minutes,Fox Searchlight Pictures,"Sep 29, 2017",Battle of the Sexes,https://www.rottentomatoes.com/m/battle_of_the_sexes,Simon Beaufoy
Nora Twomey,AnimationDramaKids & Family,PG-13 (for thematic material including some violent images),95%,93 minutes,,"Nov 17, 2017",The Breadwinner,https://www.rottentomatoes.com/m/the_breadwinner,Anita Doron
Peter Bratt,Documentary,NR,98%,98 minutes,PBS Distribution,,Dolores,https://www.rottentomatoes.com/m/dolores_2017,
Frederick Wiseman,Documentary,NR,97%,197 minutes,Zipporah Films,"Sep 13, 2017",Ex Libris: New York Public Library,https://www.rottentomatoes.com/m/ex_libris_new_york_public_library,Frederick Wiseman
Stephen Fingleton,Art House & InternationalDramaMystery & SuspenseScience Fiction & Fantasy,NR,98%,104 minutes,IFC Midnight,"May 19, 2017",The Survivalist,https://www.rottentomatoes.com/m/the_survivalist_2017,Stephen Fingleton
Ferne Pearlstein,Documentary,NR,98%,90 minutes,Tangerine Entertainment,"Mar 3, 2017",The Last Laugh,https://www.rottentomatoes.com/m/the_last_laugh_2017,Ferne PearlsteinRobert Edwards
Ferenc Torok,Art House & InternationalDrama,NR,97%,91 minutes,Katapult Film,"Nov 1, 2017",1945,https://www.rottentomatoes.com/m/1945,Ferenc TorokGabor Szanto
Ken Loach,Art House & InternationalDrama,R (for language),92%,100 minutes,Sundance Selects,"Jun 2, 2017","I, Daniel Blake",https://www.rottentomatoes.com/m/i_daniel_blake,Paul Laverty
Shaul SchwarzChristina Clusiau,Documentary,NR,98%,108 minutes,The Orchard,,Trophy,https://www.rottentomatoes.com/m/trophy_2017,
Sunao Katabuchi,AnimationArt House & InternationalDrama,PG-13 (for thematic elements including war-related images),97%,129 minutes,Shout! Factory Films,"Aug 11, 2017",In This Corner of the World (Kono sekai no katasumi ni),https://www.rottentomatoes.com/m/in_this_corner_of_the_world,Sunao Katabuchi
James Gunn (II),Action & AdventureComedyScience Fiction & Fantasy,"PG-13 (for sequences of sci-fi action and violence, language, and brief suggestive content)",83%,137 minutes,Walt Disney Pictures,"May 5, 2017",Guardians of the Galaxy Vol. 2,https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_2,James Gunn (II)
Michaël Dudok De Wit,AnimationArt House & International,PG (for some thematic elements and peril),93%,80 minutes,Studio Ghibli,"Jan 20, 2017",The Red Turtle (La tortue rouge),https://www.rottentomatoes.com/m/the_red_turtle,Michaël Dudok De WitPascale Ferran
